"K","theta","p","psi","nSamples","Index"
4,0.76,0.15,1,20,174
8,0.76,0.15,1,20,175
16,0.76,0.15,1,20,176
2,0.06,0.3,1,20,177
4,0.06,0.3,1,20,178
8,0.06,0.3,1,20,179
16,0.06,0.3,1,20,180
2,0.24,0.3,1,20,181
4,0.24,0.3,1,20,182
8,0.24,0.3,1,20,183
16,0.24,0.3,1,20,184
2,0.42,0.3,1,20,185
4,0.42,0.3,1,20,186
8,0.42,0.3,1,20,187
16,0.42,0.3,1,20,188
2,0.76,0.3,1,20,189
4,0.76,0.3,1,20,190
8,0.76,0.3,1,20,191
16,0.76,0.3,1,20,192
2,0.06,0.35,1,20,193
4,0.06,0.35,1,20,194
8,0.06,0.35,1,20,195
16,0.06,0.35,1,20,196
2,0.24,0.35,1,20,197
4,0.24,0.35,1,20,198
8,0.24,0.35,1,20,199
16,0.24,0.35,1,20,200
2,0.42,0.35,1,20,201
4,0.42,0.35,1,20,202
8,0.42,0.35,1,20,203
16,0.42,0.35,1,20,204
2,0.76,0.35,1,20,205
4,0.76,0.35,1,20,206
8,0.76,0.35,1,20,207
16,0.76,0.35,1,20,208
2,0.06,0.4,1,20,209
4,0.06,0.4,1,20,210
8,0.06,0.4,1,20,211
16,0.06,0.4,1,20,212
2,0.24,0.4,1,20,213
4,0.24,0.4,1,20,214
8,0.24,0.4,1,20,215
16,0.24,0.4,1,20,216
2,0.42,0.4,1,20,217
4,0.42,0.4,1,20,218
8,0.42,0.4,1,20,219
16,0.42,0.4,1,20,220
2,0.76,0.4,1,20,221
4,0.76,0.4,1,20,222
8,0.76,0.4,1,20,223
16,0.76,0.4,1,20,224
2,0.06,0.75,1,20,225
4,0.06,0.75,1,20,226
8,0.06,0.75,1,20,227
16,0.06,0.75,1,20,228
2,0.24,0.75,1,20,229
4,0.24,0.75,1,20,230
8,0.24,0.75,1,20,231
16,0.24,0.75,1,20,232
2,0.42,0.75,1,20,233
4,0.42,0.75,1,20,234
8,0.42,0.75,1,20,235
16,0.42,0.75,1,20,236
2,0.76,0.75,1,20,237
4,0.76,0.75,1,20,238
8,0.76,0.75,1,20,239
16,0.76,0.75,1,20,240
2,0.06,0.15,1,30,241
4,0.06,0.15,1,30,242
8,0.06,0.15,1,30,243
16,0.06,0.15,1,30,244
2,0.24,0.15,1,30,245
4,0.24,0.15,1,30,246
8,0.24,0.15,1,30,247
16,0.24,0.15,1,30,248
2,0.42,0.15,1,30,249
4,0.42,0.15,1,30,250
8,0.42,0.15,1,30,251
16,0.42,0.15,1,30,252
2,0.76,0.15,1,30,253
4,0.76,0.15,1,30,254
8,0.76,0.15,1,30,255
16,0.76,0.15,1,30,256
2,0.06,0.3,1,30,257
4,0.06,0.3,1,30,258
8,0.06,0.3,1,30,259
16,0.06,0.3,1,30,260
2,0.24,0.3,1,30,261
4,0.24,0.3,1,30,262
8,0.24,0.3,1,30,263
16,0.24,0.3,1,30,264
2,0.42,0.3,1,30,265
4,0.42,0.3,1,30,266
8,0.42,0.3,1,30,267
16,0.42,0.3,1,30,268
2,0.76,0.3,1,30,269
4,0.76,0.3,1,30,270
8,0.76,0.3,1,30,271
16,0.76,0.3,1,30,272
2,0.06,0.35,1,30,273
4,0.06,0.35,1,30,274
8,0.06,0.35,1,30,275
16,0.06,0.35,1,30,276
2,0.24,0.35,1,30,277
4,0.24,0.35,1,30,278
8,0.24,0.35,1,30,279
16,0.24,0.35,1,30,280
2,0.42,0.35,1,30,281
4,0.42,0.35,1,30,282
8,0.42,0.35,1,30,283
16,0.42,0.35,1,30,284
2,0.76,0.35,1,30,285
4,0.76,0.35,1,30,286
8,0.76,0.35,1,30,287
16,0.76,0.35,1,30,288
2,0.06,0.4,1,30,289
4,0.06,0.4,1,30,290
8,0.06,0.4,1,30,291
16,0.06,0.4,1,30,292
2,0.24,0.4,1,30,293
4,0.24,0.4,1,30,294
8,0.24,0.4,1,30,295
16,0.24,0.4,1,30,296
2,0.42,0.4,1,30,297
4,0.42,0.4,1,30,298
8,0.42,0.4,1,30,299
16,0.42,0.4,1,30,300
2,0.76,0.4,1,30,301
4,0.76,0.4,1,30,302
8,0.76,0.4,1,30,303
16,0.76,0.4,1,30,304
2,0.06,0.75,1,30,305
4,0.06,0.75,1,30,306
8,0.06,0.75,1,30,307
16,0.06,0.75,1,30,308
2,0.24,0.75,1,30,309
4,0.24,0.75,1,30,310
8,0.24,0.75,1,30,311
16,0.24,0.75,1,30,312
2,0.42,0.75,1,30,313
4,0.42,0.75,1,30,314
8,0.42,0.75,1,30,315
16,0.42,0.75,1,30,316
2,0.76,0.75,1,30,317
4,0.76,0.75,1,30,318
8,0.76,0.75,1,30,319
16,0.76,0.75,1,30,320
2,0.06,0.15,1,50,321
4,0.06,0.15,1,50,322
8,0.06,0.15,1,50,323
16,0.06,0.15,1,50,324
2,0.24,0.15,1,50,325
4,0.24,0.15,1,50,326
8,0.24,0.15,1,50,327
16,0.24,0.15,1,50,328
2,0.42,0.15,1,50,329
4,0.42,0.15,1,50,330
8,0.42,0.15,1,50,331
16,0.42,0.15,1,50,332
2,0.76,0.15,1,50,333
4,0.76,0.15,1,50,334
8,0.76,0.15,1,50,335
16,0.76,0.15,1,50,336
2,0.06,0.3,1,50,337
4,0.06,0.3,1,50,338
8,0.06,0.3,1,50,339
16,0.06,0.3,1,50,340
2,0.24,0.3,1,50,341
4,0.24,0.3,1,50,342
8,0.24,0.3,1,50,343
16,0.24,0.3,1,50,344
2,0.42,0.3,1,50,345
4,0.42,0.3,1,50,346
8,0.42,0.3,1,50,347
16,0.42,0.3,1,50,348
2,0.76,0.3,1,50,349
